Time (EET),Open,High,Low,Close,Volume
2025.11.03 06:33:00,4005.078,4005.585,4004.635,4005.485,16800.0
2025.11.03 06:34:00,4005.445,4005.445,4004.075,4004.828,12900.0
2025.11.03 06:35:00,4005.095,4005.665,4004.825,4005.325,11000.0
2025.11.03 06:36:00,4005.305,4005.505,4004.165,4004.375,10820.0
2025.11.03 06:37:00,4004.345,4004.435,4003.225,4003.905,13120.0
2025.11.03 06:38:00,4003.875,4004.485,4003.845,4004.375,8700.0
2025.11.03 06:39:00,4004.475,4005.895,4004.475,4005.578,9460.0
2025.11.03 06:40:00,4005.195,4007.405,4004.855,4006.205,27550.0
2025.11.03 06:41:00,4006.185,4006.795,4005.655,4005.715,22330.0
2025.11.03 06:42:00,4005.685,4007.325,4005.425,4007.145,15630.000000000002
2025.11.03 06:43:00,4007.065,4007.365,4006.835,4007.125,11640.0
2025.11.03 06:44:00,4007.115,4007.155,4005.975,4006.605,19300.0
2025.11.03 06:45:00,4006.575,4006.865,4006.115,4006.375,22050.0
2025.11.03 06:46:00,4006.365,4006.395,4005.298,4005.595,42780.0
2025.11.03 06:47:00,4005.635,4006.918,4004.718,4006.908,22290.0
2025.11.03 06:48:00,4006.918,4007.288,4005.195,4005.428,24060.0
2025.11.03 06:49:00,4005.428,4005.658,4004.258,4005.058,36290.0
2025.11.03 06:50:00,4005.058,4005.608,4004.785,4004.858,26260.0
2025.11.03 06:51:00,4004.848,4004.878,4002.665,4003.678,58220.0
2025.11.03 06:52:00,4003.895,4004.888,4003.758,4003.838,20910.0
2025.11.03 06:53:00,4003.738,4006.038,4003.738,4005.595,29790.0
2025.11.03 06:54:00,4005.615,4005.885,4005.098,4005.165,17010.0
2025.11.03 06:55:00,4005.165,4005.348,4004.768,4004.798,9350.0
2025.11.03 06:56:00,4004.808,4004.888,4004.085,4004.158,7900.000000000001
2025.11.03 06:57:00,4004.178,4004.365,4003.828,4004.088,11840.0
2025.11.03 06:58:00,4004.095,4004.405,4003.338,4003.338,12840.0
2025.11.03 06:59:00,4003.338,4004.115,4002.448,4003.368,48320.0
2025.11.03 07:00:00,4003.378,4003.998,4003.355,4003.505,10600.0
2025.11.03 07:01:00,4003.515,4003.785,4002.775,4003.745,15370.0
2025.11.03 07:02:00,4003.665,4003.735,4002.585,4002.655,7840.0
2025.11.03 07:03:00,4002.728,4002.875,4000.565,4002.015,77770.0
2025.11.03 07:04:00,4001.985,4002.115,3997.708,3999.298,91990.0
2025.11.03 07:05:00,3999.298,3999.865,3997.479,3999.155,58780.0
2025.11.03 07:06:00,3999.158,4001.195,3997.985,4001.165,38620.0
2025.11.03 07:07:00,4001.135,4002.545,4000.945,4001.505,20760.0
2025.11.03 07:08:00,4001.525,4006.045,4001.525,4005.545,25740.0
2025.11.03 07:09:00,4005.515,4007.865,4004.025,4007.775,29130.0
2025.11.03 07:10:00,4007.765,4007.785,4006.315,4006.975,30130.0
2025.11.03 07:11:00,4007.005,4009.798,4007.005,4008.675,29430.0
2025.11.03 07:12:00,4008.665,4009.115,4007.255,4009.048,29540.0
2025.11.03 07:13:00,4009.005,4009.825,4007.365,4007.475,25100.0
2025.11.03 07:14:00,4007.449,4007.565,4005.748,4006.665,34510.0
2025.11.03 07:15:00,4006.705,4006.825,4004.665,4006.178,19080.0
2025.11.03 07:16:00,4006.178,4007.485,4005.368,4007.105,26640.0
2025.11.03 07:17:00,4007.088,4007.815,4005.925,4005.945,15480.0
2025.11.03 07:18:00,4005.925,4006.265,4005.315,4005.485,7920.0
2025.11.03 07:19:00,4005.515,4006.695,4005.485,4006.408,12840.0
2025.11.03 07:20:00,4006.388,4006.595,4005.805,4005.805,10080.0
2025.11.03 07:21:00,4005.825,4006.535,4005.308,4005.335,9480.0
2025.11.03 07:22:00,4005.398,4006.005,4005.295,4005.615,11860.0
2025.11.03 07:23:00,4005.608,4006.295,4004.785,4006.295,9450.0
2025.11.03 07:24:00,4006.315,4007.505,4006.075,4007.425,12000.0
2025.11.03 07:25:00,4007.575,4008.885,4007.535,4008.885,12240.0
2025.11.03 07:26:00,4008.935,4010.985,4008.935,4010.848,16410.0
2025.11.03 07:27:00,4010.948,4012.565,4010.585,4010.685,27010.0
2025.11.03 07:28:00,4010.715,4010.745,4009.548,4010.655,10680.0
2025.11.03 07:29:00,4010.685,4011.805,4010.525,4011.735,12960.0
2025.11.03 07:30:00,4011.715,4014.595,4011.715,4014.275,35430.0
2025.11.03 07:31:00,4014.255,4017.198,4014.015,4016.205,49690.0
2025.11.03 07:32:00,4016.185,4018.075,4014.948,4015.525,44990.0
2025.11.03 07:33:00,4015.495,4016.115,4014.135,4014.735,29840.0
2025.11.03 07:34:00,4014.748,4015.425,4013.305,4014.055,26960.0
2025.11.03 07:35:00,4013.995,4014.055,4011.625,4012.115,21940.0
2025.11.03 07:36:00,4012.145,4014.025,4012.145,4013.318,29100.0
2025.11.03 07:37:00,4013.318,4014.018,4011.915,4014.018,26790.0
2025.11.03 07:38:00,4014.018,4014.998,4013.698,4014.015,27350.0
2025.11.03 07:39:00,4013.985,4014.335,4013.095,4013.995,23300.0
2025.11.03 07:40:00,4014.025,4016.055,4013.995,4015.445,30670.0
2025.11.03 07:41:00,4015.475,4015.858,4014.155,4014.448,26280.0
2025.11.03 07:42:00,4014.455,4016.305,4014.148,4015.705,23280.0
2025.11.03 07:43:00,4015.685,4016.125,4015.315,4015.485,17490.0
2025.11.03 07:44:00,4015.505,4015.685,4014.155,4014.545,13740.0
2025.11.03 07:45:00,4014.685,4014.935,4013.315,4013.548,15550.0
2025.11.03 07:46:00,4013.495,4014.315,4013.225,4013.438,12650.0
2025.11.03 07:47:00,4013.448,4014.448,4013.448,4014.118,18420.0
2025.11.03 07:48:00,4014.118,4014.548,4013.065,4013.538,21360.0
2025.11.03 07:49:00,4013.548,4014.858,4012.665,4014.818,25040.0
2025.11.03 07:50:00,4014.535,4016.555,4014.178,4016.088,34190.0
2025.11.03 07:51:00,4016.088,4016.088,4014.298,4014.315,22450.0
2025.11.03 07:52:00,4014.295,4014.908,4013.795,4014.848,21780.0
2025.11.03 07:53:00,4014.848,4015.258,4014.158,4015.058,20410.0
2025.11.03 07:54:00,4015.068,4015.835,4014.465,4015.738,27580.0
2025.11.03 07:55:00,4015.738,4015.948,4014.268,4014.298,24090.0
2025.11.03 07:56:00,4014.225,4014.398,4011.498,4012.298,36540.0
2025.11.03 07:57:00,4012.308,4012.848,4010.998,4011.185,60050.0
2025.11.03 07:58:00,4011.178,4012.598,4011.028,4012.215,45680.0
2025.11.03 07:59:00,4012.255,4013.798,4012.255,4013.615,34880.0
2025.11.03 08:00:00,4013.698,4015.498,4013.655,4014.495,25360.0
2025.11.03 08:01:00,4014.585,4016.498,4014.248,4014.555,42980.0
2025.11.03 08:02:00,4014.445,4014.885,4012.605,4013.765,33220.0
2025.11.03 08:03:00,4013.948,4016.055,4012.995,4014.095,34370.0
2025.11.03 08:04:00,4014.135,4014.445,4012.525,4013.545,27980.0
2025.11.03 08:05:00,4013.485,4013.485,4010.705,4012.178,34780.0
2025.11.03 08:06:00,4012.258,4012.838,4010.295,4010.728,30170.0
2025.11.03 08:07:00,4010.778,4011.875,4009.825,4011.728,30260.0
2025.11.03 08:08:00,4011.825,4014.545,4011.735,4014.395,25120.0
2025.11.03 08:09:00,4014.415,4015.295,4014.215,4014.815,24960.0
2025.11.03 08:10:00,4014.835,4015.515,4014.465,4015.175,21820.0
2025.11.03 08:11:00,4015.155,4015.868,4014.725,4014.755,24960.0
2025.11.03 08:12:00,4014.775,4015.745,4014.605,4014.905,16920.0
2025.11.03 08:13:00,4015.295,4015.325,4013.865,4015.085,18090.0
2025.11.03 08:14:00,4015.125,4015.505,4013.875,4014.348,17870.0
2025.11.03 08:15:00,4014.338,4014.735,4013.068,4014.015,18810.0
2025.11.03 08:16:00,4013.995,4015.195,4013.475,4014.855,32610.0
2025.11.03 08:17:00,4014.875,4015.555,4014.125,4014.255,20650.0
2025.11.03 08:18:00,4014.225,4015.745,4014.205,4015.405,19830.0
2025.11.03 08:19:00,4015.425,4017.895,4015.395,4016.885,24160.0
2025.11.03 08:20:00,4016.905,4016.905,4014.995,4015.505,27030.0
2025.11.03 08:21:00,4015.485,4015.485,4013.305,4015.045,20280.0
2025.11.03 08:22:00,4015.055,4015.425,4013.975,4014.705,14400.0
2025.11.03 08:23:00,4014.625,4017.015,4014.185,4016.935,23280.0
2025.11.03 08:24:00,4016.995,4018.335,4016.705,4017.485,27260.0
2025.11.03 08:25:00,4017.145,4018.248,4016.165,4016.348,24390.0
2025.11.03 08:26:00,4016.348,4016.365,4014.445,4015.365,22030.0
2025.11.03 08:27:00,4015.025,4015.355,4013.515,4015.145,21210.0
2025.11.03 08:28:00,4015.115,4016.685,4014.805,4016.325,16440.0
2025.11.03 08:29:00,4016.355,4016.595,4015.505,4016.135,26820.0
2025.11.03 08:30:00,4016.148,4016.325,4014.635,4014.658,12600.0
2025.11.03 08:31:00,4014.625,4014.975,4013.615,4014.705,21150.0
2025.11.03 08:32:00,4014.725,4014.915,4012.835,4014.578,22540.0
2025.11.03 08:33:00,4014.595,4014.635,4013.525,4013.918,11400.0
2025.11.03 08:34:00,4013.935,4014.995,4013.935,4014.628,93550.0
2025.11.03 08:35:00,4014.628,4015.165,4013.845,4014.535,65379.99999999999
2025.11.03 08:36:00,4014.505,4015.055,4013.815,4013.885,19120.0
2025.11.03 08:37:00,4013.865,4015.905,4013.595,4015.085,14040.0
2025.11.03 08:38:00,4015.055,4015.565,4013.955,4014.345,20900.0
2025.11.03 08:39:00,4014.305,4016.595,4014.305,4015.925,23210.0
2025.11.03 08:40:00,4015.945,4016.785,4015.495,4016.735,35730.0
2025.11.03 08:41:00,4016.775,4017.348,4015.785,4015.785,24580.0
2025.11.03 08:42:00,4015.815,4016.785,4015.775,4016.575,12270.0
2025.11.03 08:43:00,4016.585,4017.695,4016.585,4017.295,23260.0
2025.11.03 08:44:00,4017.255,4017.545,4015.195,4015.255,22990.0
2025.11.03 08:45:00,4015.235,4016.215,4014.345,4014.385,21750.0
2025.11.03 08:46:00,4014.365,4015.055,4013.715,4014.175,17160.0
2025.11.03 08:47:00,4014.135,4014.945,4013.585,4014.945,17630.0
2025.11.03 08:48:00,4014.995,4015.775,4014.945,4015.775,14280.0
2025.11.03 08:49:00,4016.145,4016.595,4014.505,4016.545,18990.0
2025.11.03 08:50:00,4016.575,4017.255,4015.335,4015.615,12000.0
2025.11.03 08:51:00,4015.575,4016.815,4015.245,4016.615,11830.0
2025.11.03 08:52:00,4016.655,4018.275,4016.655,4017.815,19890.0
2025.11.03 08:53:00,4017.925,4018.025,4016.795,4016.795,18460.0
2025.11.03 08:54:00,4016.855,4017.175,4016.345,4016.925,16070.000000000002
2025.11.03 08:55:00,4016.905,4016.905,4015.045,4015.065,13920.0
2025.11.03 08:56:00,4015.035,4015.875,4014.025,4015.375,36880.0
2025.11.03 08:57:00,4015.345,4017.335,4015.115,4017.215,24210.0
2025.11.03 08:58:00,4017.265,4018.305,4016.935,4017.405,23370.0
2025.11.03 08:59:00,4017.375,4017.725,4016.295,4017.205,21480.0
2025.11.03 09:00:00,4017.225,4017.475,4015.605,4016.915,27100.0
2025.11.03 09:01:00,4016.925,4021.018,4016.915,4020.908,38770.0
2025.11.03 09:02:00,4020.928,4022.215,4018.115,4020.625,47130.0
